NO,課程碼,主開課程碼,開課單位,科目名稱,學分,選別,期次,授課教師/專長,授課語言,週別,星期,節次,教室,週別,星期,節次,教室,週別,星期,節次,教室,是否開放大四生上修,備註,可選課年級／分發優先順序,課程人數／屬性資料,通識領域／學群,是否開放選課條,大綱
1,D010102198,,中文一,現代散文與習作 Modern Prose,2.00,選,學年,王秀珊 專長： 唐五代兩宋詞研究、東坡詞及其批評研究、古典短篇小說、紅樓夢,中文,全,四(Thu),D1-D2,LI105,,,,,,,,,否,,最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 55 外系： 22 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
2,D010109076,,中文一,書畫藝術欣賞與習作 Appreciation and Writing of Calligraphy and Painting,2.00,選,學期,孫永忠 專長： 古典文學、文獻學、書法、詩詞吟唱、應用文,中文,全,四(Thu),D5-D6,LE1A,,,,,,,,,否,,最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 38 外系： 2 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
3,D010135917,,中文一,讀劇表演 Play Reading and Performance,2.00,選,學期,林乃文 專長： 台灣戲劇史、前衛劇場美學、戲劇創作、劇場評論,中文,全,四(Thu),D5-D6,LI100,,,,,,,,,否,,最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 75 外系： 40 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
4,D010136448,,中文一,古典小說名著選讀：金瓶梅 Selected Readings of Classics Novels：Jin Ping Mei,2.00,選,學期,林郁迢 專長： 魏晉南北朝文學、南宋六朝學、陶謝詩、稼軒詞,中文,全,五(Fri),D5-D6,LE303,,,,,,,,,否,,最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 55 外系： 10 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
5,D010202190,,中文二,現代小說與習作 Modern Novels,2.00,選,學年,林以衡 專長： 現代文學、通俗小說,中文,全,四(Thu),D1-D2,LI104,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 55 外系： 10 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
6,D010202199,,中文二,現代詩與習作 Modern Poetry(with Writing Practice),2.00,選,學期,林以衡 專長： 現代文學、通俗小說,中文,全,四(Thu),D5-D6,LI102,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 50 外系： 10 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
7,D010221269,,中文二,語法修辭學 Grammar and Rhetoric,2.00,選,學年,劉雅芬 專長： 中國文字學、漢語詞彙學、漢語語法、漢語語言學、華語文教學、大一國文,中文,全,四(Thu),D3-D4,LI105,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 55 外系： 10 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
8,D010233116,,中文二,"動漫文學與劇本實作 The literature and playwriting of animation,comic and game",2.00,選,學期,劉兆恩 專長： 臺灣古典漢詩、臺灣現代文學、ACG與文創、中國古典文學、中文寫作教學,中文,全,一(Mon),D7-D8,LE304,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 75 外系： 30 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
9,D010233422,,中文二,台灣話的語源與文化探索 The Research on the Culture and Etymology of Taiwanese,2.00,選,學期,李添富 專長： 文字學、聲韻學、訓詁學、詩經、語言學、國學導讀,中文,全,二(Tue),D3-D4,LE304,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 50 外系： 25 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
10,D010233682,,中文二,編輯與採訪：傳統與新媒體 News Editing and Reporting,2.00,選,學年,蒯亮 專長： 編輯採訪、大眾傳播理論、傳播學、管理學,中文,全,四(Thu),D7-D8,LI105,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 55 外系： 25 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
11,D010235521,,中文二,"文藝、時尚與科技 Literature, Art, Fashion and Technology",2.00,選,學期,邱琳婷 專長： 藝術史、博物館學、當代藝術巿場,中文,全,一(Mon),D7-D8,LI100,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 85 外系： 40 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
12,D010236700,,中文二,"跨域敘事的社會實踐──醫療人文、產業與永續發展 The Social Practice of Cross-Domain Narrative-- Medical Humanities, Industry and Sustainable Development",2.00,選,學期,陳冠蓉 專長： 國文,中文,全,二(Tue),D7-D8,LI106,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 40 外系： 5 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
13,D010236703,,中文二,故事說寫實務 Story Telling and Writing in Practice,2.00,選,學年,吳燕真 專長： 楚辭、楚辭學、文學理論、現代小說,中文,全,四(Thu),D3-D4,LI106,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 48 外系： 10 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
14,D010237129,,中文二,主持與播報 Hosting and Broadcasting,2.00,選,學期,劉惠卿 專長： 影音新聞製作、深度報導、社會行銷,中文,全,五(Fri),D5-D6,LF307,,,,,,,,,否,新聞傳播學系同學請勿選課,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 40 外系： 20 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
15,D010237376,,中文二,臺灣古典詩歌選讀 Selected Readings in Classical Taiwanese Poetry,2.00,選,學期,余育婷 專長： 臺灣古典文學、中國詩歌、文學理論與批評,中文,全,三(Wed),D7-D8,LI105,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 50 外系： 10 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
16,D010237377,,中文二,文創藝術總整專題 Seminar on Cultural Creative Arts,2.00,選,學期,邱琳婷 專長： 藝術史、博物館學、當代藝術巿場,中文,全,一(Mon),D5-D6,LI105,,,,,,,,,否,已修過中文系「中國神話母題與互動式AI敘事」、「民間文學與互動式AI敘事」及文學院「不只是 AI—影視敘事中的人機互動、倫理反思與應用寫作」的同學優先。,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 35 外系： 10 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
17,D010309320,,中文三,台灣文學 Literature of Taiwan,2.00,選,學年,余育婷 專長： 臺灣古典文學、中國詩歌、文學理論與批評,中文,全,五(Fri),D3-D4,LE303,,,,,,,,,否,,最低年級： 三年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 55 外系： 10 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
18,D010309971,,中文三,現代中國文學史 Modern Chinese Literature,2.00,選,學年,林以衡 專長： 現代文學、通俗小說,中文,全,三(Wed),D1-D2,LI104,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 55 外系： 10 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
19,D010332615,,中文三,簡帛文獻導讀 Early Chinese Bamboo and Silk Manuscripts Guilded Reading,2.00,選,學年,邱文才 專長： 先秦道家思想、老子、莊子、古文字學、簡帛思想,中文,全,一(Mon),D3-D4,LI105,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 55 外系： 10 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
20,D010335916,,中文三,民間文學與互動式A I敘事 Folk Literatur and Interactive Storytelling from AI,2.00,選,學期,林郁迢 專長： 魏晉南北朝文學、南宋六朝學、陶謝詩、稼軒詞,中文,全,一(Mon),D3-D4,LI100,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 80 外系： 30 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
21,D010336701,,中文三,華語口語與表達 Chinese Pronunciation and Verbal Expression,2.00,選,學期,李鵑娟 專長： 文字學、聲韻學、訓詁學、語音學、詞彙學、修辭學、應用文,中文,全,三(Wed),D7-D8,LI106,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 48 外系： 15 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
22,D010336705,,中文三,經典轉譯 Translation in Classics,2.00,選,學年,謝元雄 專長： 語言文字學、先秦兩漢思想、作文教學,中文,全,二(Tue),D3-D4,LI103,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 55 外系： 15 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
23,D010336712,,中文三,古典戲曲 Classic Drama,2.00,選,學年,吳淑慧 專長： 國文,中文,全,四(Thu),D5-D6,LI103,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 55 外系： 10 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
24,D010337378,,中文三,華語文教材教法與實務 Materials and Methodology for Teaching Chinese as a Second Language and Practice,2.00,選,學期,王欣慧 專長： 辭賦、賦學理論、唐代詩文,中文,全,二(Tue),D3-D4,LI106,,,,,,,,,否,已修過中文系「華語文教學導論」的同學優先。,最低年級： 三年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 48 外系： 10 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
25,D010402839,,中文四,應用文 Business and Documentary Writing,2.00,選,學年,金周生 專長： 文字學、聲韻學、語言學、文章學、語音學,中文,全,四(Thu),D5-D6,LI105,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 55 外系： 10 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
26,D010404521,,中文四,報導文學 Journalistic Literature,2.00,選,學期,陳玉金 專長： 童話創作,中文,全,二(Tue),D5-D6,LI103,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 50 外系： 25 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
27,D010413859,,中文四,產業實習 Internship,9.00,選,學期,林郁迢 專長： 魏晉南北朝文學、南宋六朝學、陶謝詩、稼軒詞,中文,,,-,不需要教室,,,,,,,,,否,,最低年級： 四年級 最高年級： 四年級 分發優先順序： 2開課系所高年級學生優先,開放： 15 外系： 0 屬性： 拒退拒加 拒退年級： 不設定,領域： 學群：,否,
28,D010424613,,中文四,專題製作：研究報告寫作 Project production: Writing of research report,2.00,選,學年,趙世瑋 專長： 清代學術思想、中國近代思想與文化、老莊思想、現代小說,中文,全,四(Thu),D3-D4,LI103,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 48 外系： 15 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
29,D020001042,,歷史系,十九世紀歐洲史 The European History of Nineteen Century,2.00,選,學年,陳立樵 專長： 20世紀初期英國與伊朗外交關係、現代西方與中東關係,中文,全,四(Thu),D3-D4,LI205,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 2開課系所高年級學生優先,開放： 50 外系： 0 屬性： 可退拒加 拒退年級： 不設定,領域： 學群：,否,
30,D020001121,,歷史系,中國史學史 History of Chinese Historiography,2.00,選,學年,戴晉新 專長： 先秦史、中國史學史、史學方法與理論,中文,全,三(Wed),D3-D4,LI206,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 48 外系： 0 屬性： 可退拒加 拒退年級： 不設定,領域： 學群：,否,
31,D020001149,,歷史系,中國經濟史 The Economic History in China,2.00,選,學年,劉文賓 專長： 中國現代史、中國經濟史,中文,全,四(Thu),D3-D4,LI203,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 2開課系所高年級學生優先,開放： 50 外系： 0 屬性： 可退拒加 拒退年級： 不設定,領域： 學群：,否,
32,D020001199,,歷史系,文化人類學 Cultural Anthropology,2.00,選,學期,王廷宇 專長： 文化研究與評論、族群與文化展示、喜馬拉雅與中國西南區域研究、歷史人類學,中文,全,五(Fri),D5-D6,LI205,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 48 外系： 0 屬性： 可退可加 拒退年級： 不設定,領域： 學群：,否,
33,D020001501,,歷史系,西洋中古史 History of Medieval Europe,2.00,選,學年,孔思曾 專長： 西洋中古史、中古商業復興,中文,全,五(Fri),D7-D8,LI205,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 48 外系： 0 屬性： 可退拒加 拒退年級： 不設定,領域： 學群：,否,
34,D020001505,,歷史系,西洋史學名著選讀 Selected Reading in Western History,2.00,選,學年,馮卓健 專長： 美國史、政治思想史、世界史、歐洲早期近代史,中英文,全,一(Mon),D7-D8,LI203,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 50 外系： 0 屬性： 可退拒加 拒退年級： 不設定,領域： 學群：,否,
35,D020001842,,歷史系,英國史 History of England,2.00,選,學年,汪采燁 專長： 十八世紀英國政治、十八世紀英國女性、旅遊史、啟蒙運動,中英文,全,一(Mon),D5-D6,LI206,,,,,,,,,否,,最低年級： 一年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 48 外系： 0 屬性： 可退拒加 拒退年級： 不設定,領域： 學群：,否,
36,D020001972,,歷史系,秦漢史 History of Chin & Han Dynasties,2.00,選,學年,陳健文 專長： 秦漢史,中文,全,三(Wed),D3-D4,LI202,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 1開課單位學生優先,開放： 50 外系： 0 屬性： 可退拒加 拒退年級： 不設定,領域： 學群：,否,
37,D020002361,,歷史系,隋唐史 History of Suei & Tang Dynasties,2.00,選,學年,古怡青 專長： 魏晉南北朝史、隋唐史、 政治軍事史、 法制史、 歷史地理,中文,全,五(Fri),D5-D6,LI200,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 2開課系所高年級學生優先,開放： 50 外系： 0 屬性： 可退拒加 拒退年級： 不設定,領域： 學群：,否,
38,D020002757,,歷史系,歐洲近代史 European Modern History,2.00,選,學年,汪采燁 專長： 十八世紀英國政治、十八世紀英國女性、旅遊史、啟蒙運動,中英文,全,四(Thu),D7-D8,LI204,,,,,,,,,否,,最低年級： 二年級 最高年級： 四年級 分發優先順序： 2開課系所高年級學生優先,開放： 50 外系： 0 屬性： 可退拒加 拒退年級： 不設定,領域： 學群：,否,
